hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,company,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,reservation_status,name,email,phone-number,credit_card,reservation_status_date
City Hotel,0,23,2017,July,28,14,1,1,2,1.0,0,BB,ITA,Online TA,TA/TO,0,0,0,D,A,0,No Deposit,10.0,179.0,0,Transient,111.15,0,2,Check-Out,Connie Scott,rsullivan@example.org,290.233.2253x0491,6532805996310989,2024-09-07
City Hotel,0,55,2017,December,52,23,0,1,1,0.0,0,BB,ESP,Corporate,Direct,0,0,0,A,A,2,No Deposit,13.0,221.0,0,Transient,117.69,1,0,Check-Out,Steven Martinez,molly13@example.net,+1-891-245-8230,4018671297144503,2025-07-28
City Hotel,1,44,2017,July,27,4,2,1,2,2.0,0,BB,USA,Online TA,TA/TO,0,0,0,F,F,0,No Deposit,9.0,179.0,0,Transient,129.56,0,1,Canceled,Joseph Swanson,toni32@example.org,(342)477-2594x7214,3503109770314859,2025-10-26
City Hotel,0,104,2017,December,49,8,2,5,2,0.0,0,BB,DEU,Offline TA/TO,TA/TO,0,0,0,D,D,3,No Deposit,77.0,179.0,0,Transient,159.52,0,0,Check-Out,Michael Wiggins,gward@example.org,001-270-422-9572x86559,213119422205980,2025-11-28
Resort Hotel,0,157,2017,February,8,19,3,7,2,1.0,0,BB,IRL,Direct,Direct,0,0,0,E,E,2,No Deposit,371.0,179.0,75,Transient,139.06,0,1,Check-Out,Pamela Burke,dallen@example.com,367.916.8580x848,30265637935365,2024-10-19
City Hotel,0,26,2017,April,16,16,1,2,1,0.0,0,BB,,Online TA,TA/TO,1,0,1,A,I,2,No Deposit,6.0,179.0,0,Transient,4.71,0,1,Check-Out,Jamie Love,lisahernandez@example.net,(386)645-5188,3565577070482474,2024-05-20
Resort Hotel,0,17,2017,December,49,4,0,2,2,0.0,0,HB,,Groups,Direct,0,0,0,A,C,1,No Deposit,11.0,179.0,0,Transient-Party,62.67,1,1,Check-Out,Jane May,dylanyoung@example.net,+1-931-533-2829x11710,4008637139707098,2024-08-20
City Hotel,0,48,2017,May,21,25,2,2,2,0.0,0,BB,FRA,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,8.0,179.0,0,Transient-Party,129.06,0,0,Check-Out,Savannah Stokes,codyharris@example.com,3559541398,213154029264486,2024-11-29
City Hotel,1,35,2017,April,17,27,0,1,1,0.0,0,BB,PRT,Corporate,TA/TO,0,0,0,A,A,0,Non Refund,12.0,179.0,0,Transient,77.11,0,0,Canceled,Brian Miller,bmoody@example.com,646-442-1397,3592148873864974,2025-08-22
Resort Hotel,0,95,2017,January,2,7,2,6,2,0.0,0,BB,USA,Direct,Direct,0,0,0,D,A,0,No Deposit,12.0,179.0,0,Transient,197.57,0,1,Check-Out,Patrick Pineda,amartin@example.com,558-588-2270x734,676390540711,2024-11-22
Resort Hotel,1,154,2017,May,20,13,2,2,2,0.0,0,BB,IRL,Direct,Direct,0,0,0,A,A,0,No Deposit,244.0,179.0,0,Transient,77.94,0,1,Canceled,Audrey Richardson,oliviabrooks@example.org,(972)822-0390,213182326668430,2026-01-07
City Hotel,0,0,2017,January,2,8,0,1,1,0.0,0,BB,PRT,Direct,Direct,0,0,0,A,A,0,No Deposit,11.0,179.0,0,Transient,85.62,0,1,Check-Out,Tiffany Ray,sfletcher@example.com,+1-572-754-4917x92280,30428214144351,2024-10-13
City Hotel,0,21,2017,April,16,20,1,0,1,0.0,0,BB,DEU,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,10.0,179.0,0,Transient,92.62,0,0,Check-Out,Antonio Nichols,jennifer04@example.net,001-814-358-6247x5740,38408471929621,2025-03-08
Resort Hotel,1,92,2017,April,15,11,1,1,2,2.0,0,BB,,Online TA,TA/TO,0,0,0,C,C,0,No Deposit,242.0,179.0,0,Transient,116.08,0,1,Canceled,Veronica Flores,christiecarter@example.com,(286)927-7564x34682,589154108189,2025-05-10
Resort Hotel,0,19,2017,September,36,6,0,2,1,0.0,0,BB,PRT,Direct,Direct,0,0,0,A,A,1,No Deposit,244.0,179.0,0,Transient,44.21,1,2,Check-Out,Michael Hogan,aprillopez@example.net,001-825-210-4346x8456,5380987525394802,2024-05-15
City Hotel,0,9,2017,October,41,7,0,2,3,0.0,0,SC,ITA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,10.0,179.0,0,Transient,92.84,0,1,Check-Out,Lindsay Walker,adrienne29@example.org,+1-204-227-4998x61337,6546344208275420,2024-11-18
City Hotel,0,279,2017,January,4,25,1,3,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,125.0,179.0,0,Transient,106.12,0,1,Check-Out,Joshua Murray,bjohnson@example.org,404-250-6736x324,5495493167302437,2024-08-17
Resort Hotel,0,86,2017,September,38,19,0,1,2,0.0,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,A,D,0,No Deposit,134.0,179.0,0,Group,38.12,0,0,Check-Out,Tommy Hood,misty73@example.com,366.871.4820,4828735069027491585,2024-09-09
City Hotel,0,12,2017,June,23,5,2,1,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,80.0,179.0,0,Group,163.9,0,1,Check-Out,Mr. Kyle Thomas DDS,millsmichael@example.net,+1-557-662-8577x7381,4590907425673328,2024-09-08
City Hotel,0,33,2017,June,26,27,1,0,3,0.0,0,BB,SWE,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,179.0,0,Transient,155.73,0,2,Check-Out,Michele George,margarettaylor@example.org,364-527-1657,213195526162558,2026-02-21
City Hotel,1,12,2017,April,16,17,1,2,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,D,0,No Deposit,10.0,179.0,0,Transient,115.92,0,2,Canceled,William Martinez,sharonbeck@example.com,+1-528-344-3827x8596,2264060932154199,2025-06-10
Resort Hotel,0,0,2017,May,20,13,0,5,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,D,0,No Deposit,327.0,179.0,0,Transient,46.56,0,0,Check-Out,Michelle Mendoza DVM,bbrooks@example.org,448.227.6810x1498,30395982008904,2025-02-02
Resort Hotel,0,0,2017,June,23,8,1,2,1,0.0,0,BB,PRT,Corporate,Direct,0,0,0,A,D,1,No Deposit,13.0,179.0,0,Transient,167.82,0,0,Check-Out,Michael Bennett DVM,woodmelissa@example.net,(725)307-8956,375554879170200,2024-07-14
City Hotel,0,3,2017,September,36,3,0,1,1,0.0,0,BB,PRT,Direct,Direct,0,0,0,A,B,0,No Deposit,10.0,179.0,0,Transient,49.62,0,2,Check-Out,Ronald Clark,xburgess@example.org,+1-751-666-3425,4748202547535,2025-01-08
City Hotel,0,3,2017,February,8,21,0,1,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,6.0,179.0,0,Transient,139.49,0,1,Check-Out,Rita Graves,katie47@example.com,994.517.0528,6501809523030117,2025-04-12
Resort Hotel,0,19,2017,April,18,28,0,3,2,2.0,0,BB,PRT,Online TA,TA/TO,0,0,0,C,C,1,No Deposit,237.0,179.0,0,Transient,232.38,0,0,Check-Out,Sean White,katherine88@example.net,001-501-346-8212x43209,4936055612719472653,2025-03-31
City Hotel,0,389,2017,February,8,21,0,1,2,0.0,0,BB,,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,10.0,179.0,0,Transient-Party,100.12,0,0,Check-Out,Mr. William Hopkins,flewis@example.org,001-473-488-0222x786,346819667016642,2024-08-16
Resort Hotel,0,3,2017,August,34,20,2,1,1,0.0,0,BB,,Corporate,Corporate,0,0,0,A,D,2,No Deposit,15.0,253.0,0,Transient,81.3,0,0,Check-Out,Wendy Kelley,vanessahuerta@example.net,+1-723-600-3191x026,4833806198784,2026-02-05
City Hotel,0,13,2017,April,16,13,1,5,2,1.0,0,BB,DEU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,7.0,179.0,0,Transient,121.82,0,1,Check-Out,Michael Mooney,bsmith@example.net,(914)467-6164,180066203195394,2024-10-21
Resort Hotel,0,91,2017,February,8,22,1,2,2,0.0,0,HB,CHE,Offline TA/TO,TA/TO,0,0,0,A,A,0,Refundable,11.0,179.0,0,Transient-Party,127.12,1,0,Check-Out,Jeanne Rose,john28@example.net,+1-953-393-8426x400,3570579259106992,2026-02-26
Resort Hotel,0,320,2017,June,24,11,2,5,2,0.0,0,HB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,242.0,179.0,0,Transient-Party,53.89,0,1,Check-Out,Michael Lee,yatesjanet@example.net,242.507.5256x363,6011490571192258,2025-09-11
Resort Hotel,0,50,2017,July,27,1,2,5,2,0.0,0,HB,DEU,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,77.0,179.0,0,Transient,109.5,0,0,Check-Out,Jennifer Anderson,traceymelton@example.com,806-821-3099,371373068374398,2025-04-13
City Hotel,0,23,2017,February,6,7,1,2,2,0.0,0,BB,,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,8.0,179.0,0,Transient,173.12,0,2,Check-Out,Lauren Trujillo,shawn53@example.net,(329)506-3470,2705676089103452,2025-08-07
City Hotel,0,163,2017,March,11,12,2,5,2,0.0,0,BB,GBR,Offline TA/TO,Direct,0,0,0,D,D,2,No Deposit,11.0,179.0,0,Transient,87.37,0,1,Check-Out,Michelle Ellis,yconner@example.com,(235)927-7642x6493,3524888355199182,2024-07-06
City Hotel,0,98,2017,March,9,4,2,4,2,2.0,0,BB,SWE,Online TA,TA/TO,0,0,0,B,B,0,No Deposit,11.0,179.0,0,Transient,72.97,0,2,Check-Out,Chad Dominguez,martin25@example.com,932-597-5335,2249218618160159,2025-04-18
Resort Hotel,0,152,2017,April,14,4,2,5,2,0.0,0,FB,FRA,Direct,Direct,0,0,0,E,E,0,No Deposit,15.0,179.0,0,Transient,141.06,1,0,Check-Out,Charles Robinson,sheilahernandez@example.net,+1-561-705-0844x06844,5452022846169700,2025-06-26
City Hotel,0,85,2017,January,4,22,2,1,2,2.0,0,BB,BRA,Online TA,Direct,0,0,0,F,G,0,No Deposit,13.0,179.0,0,Transient,113.55,1,3,Check-Out,Nancy Smith,kristeningram@example.com,708-368-3858,342207329491698,2025-07-17
City Hotel,1,136,2017,April,15,9,1,3,2,0.0,0,BB,IRL,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,8.0,179.0,0,Transient,147.19,0,1,Canceled,Laura Gregory,lauren29@example.net,(799)706-5001,30002775951213,2025-09-09
City Hotel,0,0,2017,February,7,14,0,1,1,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,I,1,No Deposit,170.0,179.0,0,Transient,1.92,0,1,Check-Out,Brittany Clements MD,hmartinez@example.org,+1-792-888-6609,6011760049131256,2026-01-13
Resort Hotel,0,2,2017,April,14,4,1,5,2,2.0,0,HB,ESP,Online TA,TA/TO,0,0,0,C,C,1,No Deposit,244.0,179.0,0,Transient-Party,197.53,0,0,Check-Out,Tammy Davis,rjones@example.com,(859)883-4995,4291372260372316993,2025-06-24
Resort Hotel,0,4,2017,November,44,2,0,1,1,0.0,0,HB,NLD,Online TA,TA/TO,1,0,0,E,I,1,No Deposit,242.0,179.0,0,Transient,0.0,0,1,Check-Out,Catherine Williams,moonryan@example.net,(837)724-3805x80376,4566198562647759429,2025-03-13
Resort Hotel,0,206,2017,April,18,30,2,4,2,1.0,0,BB,PRT,Direct,Direct,0,0,0,C,C,0,No Deposit,247.0,179.0,0,Transient,252.0,1,1,Check-Out,Miss Leslie Booker,cassiebaker@example.org,+1-507-283-4348x3834,565073120075,2025-11-18
City Hotel,1,314,2017,April,14,8,0,4,2,0.0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,No Deposit,1.0,179.0,0,Transient-Party,97.35,0,0,Canceled,Jennifer Johnson,beandiane@example.net,571.325.8454,4545068563105,2026-02-15
Resort Hotel,1,146,2017,November,46,17,2,5,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,B,B,0,No Deposit,239.0,179.0,0,Transient,39.91,0,1,Canceled,John Watts,aprilhernandez@example.org,001-637-542-0282x81088,4683178177153830,2025-07-06
City Hotel,1,101,2017,January,3,16,2,3,2,0.0,0,BB,IRL,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,10.0,179.0,0,Transient,79.68,0,0,Canceled,Marissa Bennett,jamesterri@example.net,+1-332-213-2131,4047635809044969,2024-10-31
Resort Hotel,0,160,2017,November,45,8,0,3,2,0.0,0,BB,RUS,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,241.0,179.0,0,Transient,88.62,1,1,Check-Out,Rebecca Barrett,ssmith@example.org,+1-375-727-8962x8847,4120329451867360,2025-08-30
City Hotel,1,135,2017,August,35,29,0,1,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,1.0,179.0,63,Transient,63.35,0,0,Canceled,Sharon Santos,shunter@example.com,496.385.9421x72608,3593133577467240,2024-11-03
City Hotel,1,414,2017,May,20,19,1,3,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,1.0,179.0,0,Transient-Party,99.76,0,0,Canceled,Matthew Richardson,christensenjohn@example.net,259.912.9231,630408926636,2025-10-29
City Hotel,0,58,2017,August,31,4,2,5,2,0.0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,85.0,179.0,0,Transient-Party,73.36,1,0,Check-Out,Bradley Burns,cynthiaward@example.net,946.569.5617x18232,3584029160340342,2025-02-12
City Hotel,0,30,2017,November,45,7,1,3,2,0.0,0,BB,NLD,Online TA,TA/TO,0,0,1,A,A,2,No Deposit,9.0,179.0,0,Transient,42.76,0,1,Check-Out,Katrina Johnson,denise62@example.com,+1-982-579-7413,6011766497799999,2025-06-29
City Hotel,0,19,2017,December,52,27,1,2,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,7.0,179.0,0,Transient,132.95,0,1,Check-Out,Laura Hill,parkspatrick@example.com,677-206-7561,3518366242738361,2024-11-15
Resort Hotel,0,37,2017,January,3,19,0,2,2,0.0,0,HB,PRT,Groups,TA/TO,0,0,0,A,D,0,No Deposit,152.0,179.0,0,Transient-Party,76.81,0,1,Check-Out,Rebecca White,taylorluis@example.net,585-784-5211x2944,4021657787943541,2024-12-13
Resort Hotel,0,0,2017,November,45,7,0,1,1,0.0,0,BB,PRT,Direct,Direct,0,0,1,D,D,0,No Deposit,11.0,179.0,0,Transient,50.35,0,0,Check-Out,Mr. Jeffrey Duncan,byrdsherry@example.net,200-862-1748x819,6588508609443436,2025-01-01
City Hotel,0,38,2017,June,24,13,2,2,2,0.0,0,BB,ITA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,179.0,0,Transient,106.9,0,1,Check-Out,Arthur Stout,hfarmer@example.org,3768045650,4310999450124,2025-08-22
City Hotel,0,0,2017,September,35,1,0,1,3,0.0,0,BB,PRT,Direct,Direct,0,0,0,D,D,0,No Deposit,21.0,179.0,0,Transient,73.18,0,0,Check-Out,Cathy Hess,wilkersonadam@example.org,685.973.1968,36180426136345,2025-10-22
City Hotel,0,1,2017,April,17,24,0,1,2,0.0,0,BB,ESP,Direct,Direct,0,0,0,A,B,0,No Deposit,10.0,179.0,0,Transient,235.33,0,2,Check-Out,Justin Herrera,caitlin23@example.net,001-508-714-5082x378,3554786715602445,2026-02-14
Resort Hotel,1,290,2017,April,15,9,2,5,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,A,0,No Deposit,240.0,179.0,0,Contract,163.8,0,1,Canceled,Katherine Stone,xjohnson@example.com,001-326-935-3256x58993,4061013868086,2026-03-11
City Hotel,1,50,2017,January,3,17,1,4,2,0.0,0,BB,CHN,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,10.0,179.0,0,Transient,111.5,0,0,Canceled,Michelle Tyler,romeromatthew@example.net,809.201.9134,639034919089,2024-07-29
Resort Hotel,0,25,2017,January,2,5,0,3,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,244.0,179.0,0,Transient,47.68,1,2,Check-Out,Paul Sheppard,jose43@example.com,8362915542,346844839088303,2024-12-09
City Hotel,1,291,2017,March,14,30,0,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,1.0,179.0,0,Transient,126.3,0,0,Canceled,Catherine George,kimberlypittman@example.org,(567)561-5181,4191809364058359,2024-11-13
Resort Hotel,1,268,2017,January,3,14,0,4,2,0.0,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,E,E,0,No Deposit,24.0,179.0,0,Transient,133.59,0,0,Canceled,Justin Mcbride,ttrevino@example.net,304-534-7465,349451395324234,2025-06-08
City Hotel,1,2,2017,April,17,28,0,1,1,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,2,No Deposit,8.0,179.0,0,Transient,227.86,0,1,Canceled,Carl Harris,achaney@example.org,363-681-2886,501802706041,2026-02-16
City Hotel,1,167,2017,February,7,11,1,1,2,0.0,0,SC,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,6.0,179.0,0,Transient,112.82,0,0,Canceled,Justin York,kimberlyjones@example.net,001-780-692-4898,2280700408483685,2025-08-10
City Hotel,1,140,2017,January,5,29,0,4,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,8.0,179.0,0,Transient,117.15,0,1,Canceled,William Hunter,suttonwilliam@example.com,(274)499-8947x388,4584440972353,2024-08-18
City Hotel,0,42,2017,November,47,20,0,2,2,1.0,0,BB,,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,8.0,179.0,0,Transient,107.25,0,2,Check-Out,Joshua Henderson,williamphillips@example.org,(944)740-8699x197,2242569207607415,2025-05-22
City Hotel,1,394,2017,May,21,27,0,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,1.0,179.0,0,Contract,63.24,0,0,Canceled,April Turner,wisetonya@example.net,(256)777-9420x490,3591289341383238,2024-08-24
City Hotel,0,203,2017,March,12,20,2,3,2,0.0,0,SC,ESP,Online TA,TA/TO,0,0,0,D,D,1,No Deposit,238.0,179.0,0,Transient,102.18,0,2,Check-Out,Kelly Patton,xrivera@example.com,001-744-744-0565,4988752753134992,2025-05-15
City Hotel,1,0,2017,April,15,7,0,1,3,0.0,0,SC,,Complementary,Corporate,0,0,0,P,P,2,No Deposit,19.0,331.0,0,Transient,5.58,0,0,Canceled,Jill Ray,gregory81@example.net,001-919-371-7182x31300,6574367073477784,2025-07-24
Resort Hotel,0,132,2017,February,9,25,4,10,2,0.0,0,BB,IRL,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,236.0,179.0,0,Transient,178.98,0,1,Check-Out,Kelly Andersen,jonesalicia@example.net,001-652-277-8702x2685,4608556339236498,2025-07-02
City Hotel,0,101,2017,November,47,19,1,3,2,0.0,0,HB,DEU,Groups,TA/TO,0,0,0,A,A,0,No Deposit,169.0,179.0,0,Transient-Party,80.21,0,0,Check-Out,Joshua Clark,kramirez@example.net,(477)823-4890,4414994084486444,2025-02-13
City Hotel,0,12,2017,November,47,22,0,3,2,0.0,0,BB,DEU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,29.0,179.0,0,Transient-Party,85.16,0,0,Check-Out,Robert Young,reevesheather@example.org,+1-821-781-9892x40778,4336324410042434039,2025-03-03
City Hotel,1,63,2017,August,34,24,0,4,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,183.0,179.0,0,Transient-Party,81.88,0,0,No-Show,Elijah Wall,martineztamara@example.com,+1-938-363-6458x95496,4168850563680022,2024-11-22
City Hotel,0,246,2017,March,11,14,2,2,2,0.0,0,SC,GBR,Online TA,TA/TO,0,0,0,A,B,0,No Deposit,8.0,179.0,0,Transient-Party,102.0,0,0,Check-Out,Lindsey Robinson,aparker@example.org,(508)390-6472x4221,503878791741,2024-10-06
Resort Hotel,0,39,2017,April,17,23,2,1,2,0.0,0,BB,,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,238.0,179.0,0,Transient,166.99,0,1,Check-Out,Carl Dean,andersonjason@example.org,001-655-309-0230x750,676381465175,2026-03-22
Resort Hotel,1,100,2017,January,5,28,4,4,2,0.0,0,BB,RUS,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,240.0,179.0,0,Transient,101.03,0,0,Canceled,David James,burnsdaniel@example.org,(584)826-0408x99753,4697890380664783,2024-12-10
City Hotel,0,369,2017,January,3,21,1,1,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,1.0,179.0,0,Transient-Party,95.4,0,0,Check-Out,Jennifer Miller,gregory32@example.com,(398)996-4322x490,38742999551602,2025-03-28
City Hotel,1,17,2017,November,47,18,0,1,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,242.0,179.0,0,Transient,86.26,0,0,Canceled,Jeffery Neal,alicia81@example.org,001-236-235-4704,676206375013,2025-05-29
City Hotel,1,162,2017,April,14,5,0,2,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,D,D,0,No Deposit,15.0,179.0,0,Transient,246.3,0,0,Canceled,Andrea Oconnor,cheryl20@example.com,(339)428-2382x66462,30350226796160,2025-08-08
City Hotel,0,49,2017,March,11,11,0,2,2,0.0,0,BB,NOR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,8.0,179.0,0,Transient,211.64,0,3,Check-Out,Melissa Lee MD,andrewgreen@example.com,+1-499-844-5078x490,502064534345,2025-06-23
City Hotel,1,1,2017,March,10,6,0,1,1,0.0,0,SC,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,13.0,179.0,0,Transient,134.92,0,0,No-Show,Samantha Jacobs,david72@example.com,(491)576-1214x300,563647475521,2025-02-28
City Hotel,0,39,2017,January,3,14,2,1,1,0.0,0,BB,DEU,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,179.0,0,Transient,125.93,0,1,Check-Out,Christian Riddle,tranashley@example.org,001-706-668-6238x1277,639062163774,2024-09-25
City Hotel,1,300,2017,July,27,5,0,2,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,1,0,A,A,0,Non Refund,2.0,179.0,75,Transient,78.85,0,0,Canceled,Alexander Munoz,jeffrey00@example.org,508.882.4141,180035115985598,2025-11-13
City Hotel,1,415,2017,June,23,9,2,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,2.0,179.0,0,Transient-Party,92.46,0,0,Canceled,Caleb Rodriguez,lguzman@example.com,+1-998-579-0454x643,4496818769423326,2024-10-29
City Hotel,1,106,2017,May,19,9,0,2,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,78.0,179.0,0,Transient,117.92,0,0,Canceled,Andrea Bowman,perezmichelle@example.org,616.874.7427x68551,4939389968574,2024-09-22
City Hotel,0,2,2017,December,49,6,0,1,1,0.0,0,BB,PRT,Corporate,Corporate,1,1,1,A,D,0,No Deposit,7.0,45.0,0,Transient-Party,63.23,0,1,Check-Out,Gavin Nelson,jamespearson@example.org,001-412-344-6580x868,3548551554979034,2024-10-06
City Hotel,0,57,2017,May,18,5,0,2,2,0.0,0,HB,PRT,Groups,TA/TO,0,1,0,A,A,0,No Deposit,2.0,179.0,0,Transient-Party,63.68,0,0,Check-Out,Courtney Smith,elainefriedman@example.org,(513)552-6425x9154,6011472361279370,2024-06-20
Resort Hotel,1,16,2017,July,30,27,1,2,2,0.0,0,SC,DEU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,7.0,179.0,0,Transient,99.61,0,1,Canceled,Wayne Gray,jeffersondenise@example.net,001-274-880-8770,2236475842444396,2025-09-03
Resort Hotel,0,13,2017,May,19,9,2,4,2,0.0,0,BB,POL,Online TA,TA/TO,0,0,0,D,E,0,No Deposit,71.0,179.0,0,Transient-Party,140.08,0,1,Check-Out,Timothy Thompson,walllarry@example.org,+1-818-943-4517x929,2295051798899392,2026-01-26
City Hotel,0,1,2017,October,42,21,2,1,1,0.0,0,BB,PRT,Direct,Direct,0,0,0,A,A,2,No Deposit,15.0,45.0,0,Transient,87.17,1,0,Check-Out,Elizabeth Nicholson,paul61@example.net,429.918.8443x766,4323692570758900,2024-04-23
City Hotel,0,9,2017,November,46,11,0,2,1,0.0,0,BB,BRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,8.0,179.0,0,Transient,111.06,0,1,Check-Out,Joseph Graves PhD,lisajohnson@example.com,428.864.0932x234,30307013078640,2024-10-31
Resort Hotel,0,12,2017,November,45,8,1,2,2,0.0,0,BB,ESP,Direct,Direct,0,0,0,A,D,0,No Deposit,15.0,179.0,0,Transient,131.07,0,1,Check-Out,Lisa Mosley,fthomas@example.org,413.822.4118x83245,345174655135926,2025-05-03
City Hotel,1,342,2017,April,15,9,0,2,2,0.0,0,HB,PRT,Groups,TA/TO,0,1,0,A,A,0,Non Refund,1.0,179.0,0,Contract,63.9,0,0,Canceled,Travis Price,chenjustin@example.org,662-884-0887x64749,180095247450481,2024-09-16
Resort Hotel,1,40,2017,December,50,11,2,5,2,2.0,0,HB,PRT,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,246.0,179.0,0,Transient,178.91,1,1,Canceled,Patrick Faulkner,hamiltonmegan@example.org,395-593-0069x85887,6011645462874013,2024-04-01
City Hotel,0,13,2017,July,30,27,0,1,2,0.0,0,BB,PRT,Groups,Corporate,0,0,0,A,A,0,No Deposit,40.0,179.0,0,Transient-Party,86.88,0,0,Check-Out,Linda Atkinson,jeremy35@example.org,211.318.4492x33655,38201456814060,2025-04-02
Resort Hotel,0,89,2017,December,49,3,2,5,2,0.0,0,BB,CN,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,242.0,179.0,0,Transient,75.87,0,1,Check-Out,Cameron Smith,blevinsjennifer@example.com,(934)513-0167x250,180032859874682,2024-12-21
City Hotel,0,15,2017,November,47,22,0,2,3,1.0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,11.0,179.0,0,Transient,98.82,0,1,Check-Out,Brittney Martinez,markjones@example.com,+1-993-218-3651x5623,346552482295808,2024-06-09
City Hotel,0,85,2017,November,48,28,0,2,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,10.0,179.0,0,Transient,105.46,1,1,Check-Out,Nicolas Brown,nicholas17@example.org,001-970-433-6922x494,3595212070250895,2025-10-15
City Hotel,0,18,2017,November,45,4,1,2,2,0.0,0,BB,DEU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,157.0,179.0,0,Transient,54.47,0,1,Check-Out,Vanessa Zimmerman,johnsmichael@example.org,+1-765-501-8850,3503242229596774,2024-12-02
City Hotel,0,20,2017,October,42,21,2,1,1,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,2.0,179.0,0,Transient-Party,98.23,0,0,Check-Out,Lee Mann,craig32@example.org,(545)925-5362x280,4120578546306285,2024-10-24
City Hotel,1,44,2017,June,23,9,1,2,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,1,0,A,A,0,Non Refund,29.0,179.0,0,Transient,164.39,0,0,Canceled,William Lindsey,dramos@example.net,(214)910-5872x542,4395062973230610472,2026-01-26
